id,cylinders,displacement,horsepower
219,4,85.0,52
185,4,98.0,60
187,4,97.5,80
195,4,91.0,70
197,4,98.0,79
213,4,90.0,75
221,4,98.0,65
223,4,98.0,68
225,4,98.0,63
226,4,105.0,75
230,4,98.0,70
234,4,105.0,70
235,4,98.0,65
236,4,105.0,70
237,4,105.0,63
238,4,98.0,80
239,4,98.0,70
241,4,98.0,66
242,4,105.0,63
244,4,86.0,64
212,4,98.0,80
204,4,112.0,88
215,4,112.0,88
222,4,111.0,80
227,4,112.0,85
231,4,98.0,83
126,4,122.0,85
157,4,122.0,86
165,4,122.0,86
173,4,122.0,86
192,4,122.0,96
196,4,122.0,80
209,4,121.0,80
216,4,120.0,79
228,4,119.0,82
233,4,112.0,88
207,4,140.0,86
208,4,135.0,84
220,4,135.0,84
224,4,135.0,84
229,4,135.0,84
240,4,135.0,84
182,4,140.0,92
189,4,140.0,92
142,4,140.0,90
170,4,140.0,88
174,4,140.0,83
175,4,140.0,78
180,4,151.0,85
186,4,151.0,88
188,4,140.0,75
191,4,140.0,88
193,4,140.0,89
199,4,140.0,88
201,4,151.0,84
211,4,140.0,90
158,4,140.0,72
164,4,140.0,72
200,4,140.0,72
184,4,151.0,90
206,4,151.0,90
214,4,151.0,90
217,4,151.0,90
232,4,151.0,90
194,4,156.0,92
198,4,156.0,92
205,4,151.0,90
115,6,171.0,97
161,6,155.0,107
178,4,156.0,105
210,4,156.0,105
176,6,198.0,95
179,6,173.0,110
190,6,181.0,110
203,6,173.0,115
218,6,173.0,115
104,6,199.0,97
114,6,225.0,95
131,6,225.0,95
133,6,225.0,100
134,6,225.0,90
140,6,200.0,85
143,6,198.0,95
145,6,225.0,100
147,6,200.0,85
149,6,200.0,88
152,6,200.0,95
153,6,225.0,100
156,6,200.0,85
159,6,200.0,85
160,6,199.0,90
166,6,198.0,95
183,6,200.0,81
167,6,225.0,100
74,6,225.0,105
101,6,225.0,85
105,6,232.0,100
109,6,232.0,100
111,6,232.0,100
112,6,225.0,105
127,6,232.0,100
130,6,232.0,100
132,6,232.0,90
138,6,232.0,90
144,6,232.0,100
148,6,232.0,90
172,6,232.0,90
108,6,225.0,105
125,6,225.0,110
135,6,231.0,105
151,6,231.0,105
154,6,231.0,105
155,6,225.0,110
91,6,231.0,110
162,6,231.0,110
171,6,231.0,110
163,6,231.0,115
169,6,232.0,112
286,4,68.0,49
259,4,97.0,54
272,4,97.0,46
275,4,97.0,46
277,4,79.0,67
288,4,90.0,70
289,4,90.0,70
292,4,89.0,62
293,4,79.0,70
298,4,79.0,67
299,4,89.0,71
300,4,89.0,71
304,4,79.0,58
309,4,90.0,48
310,4,90.0,48
311,4,97.0,52
312,4,90.0,48
268,4,90.0,71
274,4,96.0,69
280,4,97.0,60
291,4,97.0,71
307,4,91.0,69
265,4,90.0,75
294,4,88.0,76
308,4,98.0,76
278,4,97.0,78
290,4,97.0,78
296,4,97.0,78
302,4,97.0,78
305,4,105.0,74
301,4,105.0,74
287,4,98.0,83
281,4,101.0,83
263,4,116.0,75
266,4,110.0,87
270,4,116.0,81
279,4,116.0,75
284,4,107.0,86
262,4,107.0,90
267,4,104.0,95
276,4,98.0,90
250,4,120.0,88
251,4,114.0,91
254,4,120.0,87
257,4,121.0,76
261,4,120.0,88
283,4,116.0,90
303,4,122.0,88
306,5,121.0,67
260,4,115.0,95
258,4,121.0,98
252,4,130.0,102
253,5,131.0,103
282,4,141.0,71
285,4,141.0,80
255,4,121.0,110
264,4,121.0,110
248,4,121.0,112
249,4,121.0,112
273,4,121.0,113
256,4,121.0,115
269,4,121.0,115
295,4,146.0,67
297,6,145.0,76
271,5,183.0,77
245,6,163.0,133
246,6,168.0,120
247,6,163.0,125
348,4,76.0,52
346,4,71.0,65
347,4,79.0,67
353,4,85.0,65
354,4,71.0,65
355,4,83.0,61
364,4,78.0,52
366,4,91.0,53
367,4,91.0,53
372,4,86.0,65
375,4,81.0,60
378,4,91.0,60
380,4,85.0,65
382,4,86.0,65
383,4,89.0,62
386,4,89.0,60
387,4,79.0,58
389,4,85.0,65
391,4,86.0,65
356,4,85.0,70
368,4,85.0,70
374,4,72.0,69
388,4,85.0,70
357,4,91.0,67
390,4,91.0,67
373,4,91.0,68
384,4,91.0,67
385,4,91.0,67
349,4,91.0,68
381,4,91.0,68
345,4,97.0,67
360,4,97.0,67
370,4,97.0,67
334,4,97.0,75
341,4,97.0,75
342,4,97.0,75
343,4,98.0,68
351,4,98.0,68
361,4,107.0,72
362,4,108.0,75
369,4,107.0,75
377,4,107.0,75
371,4,108.0,70
350,4,120.0,75
352,4,120.0,74
359,4,108.0,75
316,4,97.0,88
336,4,97.0,88
337,4,97.0,88
322,4,120.0,97
324,4,119.0,97
325,4,113.0,95
326,4,113.0,95
327,4,120.0,97
331,4,113.0,95
333,4,108.0,93
338,4,119.0,97
344,4,134.0,90
376,4,120.0,88
379,4,119.0,92
320,4,108.0,94
335,4,97.0,88
340,4,97.0,92
318,4,134.0,95
328,4,134.0,96
329,4,119.0,97
339,4,134.0,95
365,4,119.0,100
321,6,146.0,97
358,4,144.0,96
315,6,156.0,108
317,6,156.0,122
330,6,146.0,120
332,6,168.0,116
363,6,168.0,132
